"Time [ms]","ElecPower []","MechPower []"
214,8229.93279072557,5390.48293770863
215,7509.8557135371,7110.56839475746
216,8524.87085943864,6771.99313735837
217,6973.87490782035,6205.70275738306
218,8236.91532977412,9543.9101330456
219,8052.50805458971,7289.75670216071
220,7605.20305323503,8185.9233080753
221,8995.5686519882,9186.34446193099
222,7437.6479785507,5383.41700705882
223,8827.53265459503,8847.28315914752
224,7396.10558770589,4826.00903764723
225,7890.60745952995,7783.67143984424
226,8161.76917773653,8217.19261912496
227,7088.01514167,7221.93552804167
228,8765.17001641017,10010.0078938704
229,7698.02163477156,7725.61985972767
230,8419.98509659789,8319.83538326724
231,8010.98616345577,6130.24414555952
232,7817.01951586598,6980.31847978289
233,8179.94055591985,6279.73532654053
234,7001.64622550988,6649.87349860981
235,8402.67956636663,9651.94593057103
236,7539.65425342725,6693.11133764101
237,7778.88320591991,9386.82436310706
238,8695.88181615236,6569.48970361581
239,7408.76628151552,6517.33150008614
240,8893.30842719678,7929.63942053466
241,7022.58052420359,4746.95985770839
242,8298.2320239376,8696.06306946427
243,7577.59305322218,7019.23771924148
244,7124.46762902591,7367.82264086269
245,8774.38665310296,9917.26650638737
246,7373.99918494174,6923.25797308273
247,8535.90137430934,8729.57948614794
248,7835.50200941582,7007.25998318964
249,8032.15290845096,6991.54431803999
250,7905.72986962643,6337.4866504551
251,7139.46322875487,6426.3902785205
252,8431.10780838763,8895.2910679737
253,7252.12175386613,6998.30125761561
254,8019.17571253877,10273.5045230487
255,8322.9286930771,5946.41858044526
256,7667.51206882361,8005.82617061303
257,8722.92788925046,5629.52452944308
258,7036.98657429584,5390.60801832877
259,8683.74291704269,8193.44954124889
260,7160.15284864401,6211.29782549937
261,7568.37642937314,8708.25362932338
262,8555.90374520325,9822.4340158048
263,7309.30491044892,6597.10157631632
264,8807.92366627986,9478.72920846023
265,7733.68856767386,5884.64479696692
266,8375.9325436898,7659.35363203138
267,7847.06053874181,6798.65505255671
268,7449.74543721357,6713.33879825715
269,8432.27115825875,8830.91715123034
270,7152.04359775103,7166.62979888935
