"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
299,-259.967624569467,-292.313358825046,500.295588869225
300,-98.689604263662,-412.6062349374,448.402892129049
301,85.8803419894432,-475.574422285143,413.877035358482
302,243.368449904095,-490.550615611025,295.072146295394
303,366.813302101189,-492.906830408811,130.989254582866
304,458.806867535905,-433.049116738635,-22.9431034338563
305,500.834486896832,-308.756653468085,-177.879449270455
306,501.983736574481,-195.934938395773,-332.934412841101
307,429.919034093389,-48.8895730683143,-443.831036166705
308,367.465281005431,134.236323274741,-491.554406298917
309,257.672953150555,295.897241064251,-489.297059929575
310,87.9104754621791,406.642438057835,-467.945068376919
311,-85.9032765038983,473.089641522032,-411.693959843533
312,-235.329675079157,498.526234712604,-279.38003801246
313,-369.32978405163,496.756492253951,-132.668495293917
314,-462.526790190057,416.208182666472,10.0119261350475
315,-504.404271830958,311.689536341047,182.899545502057
316,-491.855010344335,211.121854874272,336.796088877231
317,-428.724737436037,41.7349662396895,442.016317928006
318,-385.098049673789,-141.435698659023,488.503053420064
319,-247.889152649674,-289.539561769392,486.615072603019
320,-76.5464244650607,-403.337676525042,483.119547497963
321,76.483642903824,-475.449739806517,400.993410373265
322,230.960524818449,-505.730307065589,268.211463302641
323,373.124627776188,-490.956399200717,146.891367667214
324,466.354681004934,-403.521754748753,-8.06202380949506
325,499.896594040583,-334.097663032327,-189.642021288782
326,480.803535888214,-208.598040903069,-339.489277740558
327,452.726082739671,-31.1301385888645,-434.678387488332
328,377.865395858229,141.247506168532,-484.192860761395
329,232.725720714506,282.424996281746,-500.377759138007
330,82.9895316954989,403.884166496488,-481.366734757511
331,-67.7389052041355,481.107133496909,-383.531655448697
332,-235.519216688554,507.55704213596,-278.169137389026
333,-377.116196734811,476.61052054867,-157.015887029761
334,-464.438244458934,410.614199395128,15.9591406831134
335,-494.963615396421,347.978780435909,195.171215438699
336,-480.541241684922,196.916005879401,332.891942548874
337,-467.48096636486,21.3156791741778,432.936219661918
338,-365.043612713449,-129.794333661595,484.920146987066
339,-223.812608880752,-281.184078274096,509.180480860959
340,-96.9267034877133,-407.434096978387,472.863125887547
341,66.9890680632812,-483.423187540643,374.055528202589
342,242.358049536161,-503.849166791556,296.771452515423
343,378.50651653502,-467.052369395226,156.373138097396
344,457.407088829686,-433.033832604512,-26.7508661028311
345,490.329602829533,-340.273200712121,-194.979128354442
346,497.553864929866,-183.865708811823,-326.028526551621
347,460.985475271098,-30.1306887675239,-433.554889427773
348,347.937926961224,124.393091485187,-493.607270597001
349,238.559908021824,285.22255069688,-507.079288108338
350,103.422843750449,412.820725923971,-456.485570057561
351,-74.9396255570569,481.221269596191,-389.584225087492
352,-246.764705180538,495.605132024416,-304.927083587476
353,-373.03605840785,473.536236713499,-144.212266307241
354,-456.332475115562,443.731437762956,32.590279633735
355,-491.146074228709,325.612935967162,183.973053798513
356,-507.487354461156,176.776775169758,327.809949115025
357,-448.282498744427,44.9696123695611,436.560002853589
358,-341.693622307477,-125.377661601612,496.524909167445
359,-256.594112285204,-291.628891219366,502.151535006449
360,-100.823370387059,-413.278321871126,448.662771708696
361,84.3923577097252,-475.704012796797,409.862489984171
362,245.445818212921,-490.879960202337,297.948169479891
363,366.630380616122,-490.482835136564,132.838031770856
364,458.082760266964,-435.301606177543,-25.0475845233822
365,500.568269496164,-310.232978312499,-178.587199623092
366,502.529704377391,-193.506087984638,-331.63672454216
367,431.657482858544,-48.3931689735246,-443.599757537831
368,363.792344033191,132.614125226213,-492.480908568902
369,258.255160923131,295.604250748711,-490.896012525559
370,90.1104205052654,408.159616083237,-463.787859615542
371,-86.6901068922987,473.534083980696,-413.576620313322
372,-236.425798210061,495.562294211131,-282.592198700493
373,-369.164121952763,498.0736744511,-129.4801574263
374,-460.892444868308,419.530832074424,10.6554160582157
375,-504.929410804256,307.742933232958,181.805612075078
376,-494.166316749205,210.554041889833,336.037969405401
377,-427.101651796387,43.5338727765215,442.732697302456
378,-382.693362669824,-140.486460110083,489.104042289399
379,-250.770621546376,-291.479136721659,486.777081662761
380,-78.5024397596066,-402.876577178177,480.001920665581
381,79.949657097248,-475.290003711824,404.13410185026
382,230.409304072772,-504.325293180037,269.555156658691
383,372.333459288979,-492.638881600078,143.9787694298
384,466.620094423157,-404.623947963658,-7.8775510592004
385,500.389739045912,-331.257832481718,-188.150290360176
386,481.246812871399,-208.115457985559,-339.920794963146
387,449.974657535911,-33.8763351484215,-436.100531209402
388,379.207854948897,141.652710043923,-484.218864716958
389,235.364747662937,283.84023840789,-498.027833618691
390,80.4695753636191,403.694836030884,-482.52062545507
391,-68.2472411654875,479.207912775789,-387.077751536671
392,-234.857511310192,508.825449935047,-273.106038002395
393,-375.501064216323,480.1491010983,-158.106724684949
394,-465.719822870615,405.120179598362,14.8646452091286
395,-496.298667574861,348.440112789917,194.561934899958
396,-478.916410530728,199.488748589613,334.233685400934
397,-466.007369413884,22.3492370307374,432.846266903403
398,-368.143629537331,-132.785816874886,484.993937554488
399,-225.039169514899,-280.240339764563,506.959118328651
400,-92.9687446985379,-407.10125937617,475.647014715506
401,65.802976743079,-483.002581505747,374.902595569128
402,241.089051073957,-504.766624186836,293.211414021619
403,379.028216231186,-467.974515663206,157.362837286749
404,458.492503930327,-430.12915882508,-24.7453975736065
405,490.279254425812,-341.420881141871,-195.571196560755
406,495.67941142173,-185.947966746956,-327.446492291225
407,461.984374320084,-28.4477108414389,-432.752906964111
408,350.95907343443,125.362737738087,-492.197281331329
409,234.582940990997,284.279649637543,-508.240270669312
410,103.441784824283,411.384453246929,-459.718520736955
411,-73.492544292914,482.593670148498,-383.71113814079
412,-246.164336296817,497.561450261695,-306.29926396993
413,-374.090564369617,469.114373022311,-146.485701101054
414,-456.593425238574,444.936987166143,33.1496850997355
415,-489.957351459663,328.497256443444,185.424405425052
416,-506.50635332003,176.871599884272,327.044240604791
417,-451.453861757452,41.7784264295404,436.305145845463
418,-341.981270625535,-124.039570894873,495.513799029249
419,-252.188340700372,-290.783225088129,503.816988075646
420,-102.842026333062,-413.813465485919,449.311696372566
421,82.7440491237459,-476.168200128844,406.190955310411
422,246.770709916904,-491.169769744146,300.006154837712
423,367.272496993304,-488.455819642692,134.786434904268
424,457.184733812218,-436.806309529992,-26.4073194313836
425,499.952672094228,-312.183819968574,-179.898836425471
426,503.154710427567,-190.738218459072,-330.448265872658
427,434.231614754652,-47.9886037148327,-442.661135473868
428,359.157359932783,131.12983615307,-493.689211019457
429,259.098572930113,295.001872712456,-493.130782185883
430,92.1980510301472,409.48624442542,-458.721974413506
431,-87.4604910512302,474.248263292263,-415.64480806651
432,-237.394493792446,492.63495723213,-285.50838176218
433,-368.880527253334,498.872448196464,-127.536217590473
434,-459.770117398637,422.745742000608,12.1283249166615
435,-504.638885892908,306.178303666818,180.637045980377
436,-496.390775417416,207.911357183901,335.550058295988
437,-427.067299117657,45.4433309734208,443.146077604508
438,-378.705566247248,-139.290317683817,489.488011980902
439,-253.649313531584,-293.425726384476,487.176725000699
440,-80.5603861980009,-402.724470325119,477.010622161578
441,82.4449066459514,-474.833437767382,406.754095940352
442,230.764863993109,-503.504865762543,271.096001569053
